cls	condition	object	pos	value
C	C_1	54	0.0	3.35334912393
B	C_1	17	0.0	1.72797010419
C	C_1	46	0.0	5.72631405874
C	C_1	59	0.0	6.53327017289
B	C_1	19	0.0	3.21907897377
C	C_2	54	0.0	2.67889896344
B	C_2	17	0.0	3.87758279647
C	C_2	46	0.0	3.27528408392
C	C_2	59	0.0	5.04596868279
B	C_2	19	0.0	4.95982128839
C	C_3	54	0.0	0.329848063572
B	C_3	17	0.0	3.06313632003
C	C_3	46	0.0	1.38721252805
C	C_3	59	0.0	1.0
B	C_3	19	0.0	1.47579048924
A	C_1	5	0.0	0.0
B	C_1	22	0.0	3.22913074054
C	C_1	43	0.0	5.65603007932
A	C_2	5	0.0	0.432959407276
B	C_2	22	0.0	4.33626974648
C	C_2	43	0.0	5.75014637145
A	C_3	5	0.0	0.229245818881
B	C_3	22	0.0	3.06313632003
C	C_3	43	0.0	1.37955220785
B	C_1	33	0.0	4.35858165099
B	C_1	18	0.0	1.30837310829
A	C_1	7	0.0	0.0
A	C_1	12	0.0	0.0
C	C_1	47	0.0	3.65344220039
B	C_2	33	0.0	1.78321608036
B	C_2	18	0.0	0.652274463399
A	C_2	7	0.0	0.0
A	C_2	12	0.0	0.0
C	C_2	47	0.0	2.15754112774
B	C_3	33	0.0	0.634069063719
B	C_3	18	0.0	1.18076402647
A	C_3	7	0.0	0.0
A	C_3	12	0.0	0.0
C	C_3	47	0.0	0.0
A	C_1	2	0.0	0.923305899806
A	C_1	9	0.0	2.10818887616
A	C_1	11	0.0	0.0
B	C_1	34	0.0	0.0
B	C_1	35	0.0	4.58050080685
A	C_1	10	0.0	2.15205618365
B	C_1	30	0.0	0.0
A	C_2	2	0.0	1.18563823265
A	C_2	9	0.0	2.80576151322
A	C_2	11	0.0	0.0
B	C_2	34	0.0	0.0
B	C_2	35	0.0	4.0732359263
A	C_2	10	0.0	0.783791044259
B	C_2	30	0.0	0.0
A	C_3	2	0.0	0.431716016559
A	C_3	9	0.0	0.589921647539
A	C_3	11	0.0	0.0
B	C_3	34	0.0	0.0
B	C_3	35	0.0	2.12670364697
A	C_3	10	0.0	1.10547292173
B	C_3	30	0.0	0.0
C	C_1	52	0.0	6.53327017289
C	C_1	57	0.0	4.83776622345
B	C_1	24	0.0	0.0
C	C_1	44	0.0	5.38593420151
B	C_1	15	0.0	2.95411440021
C	C_1	51	0.0	5.00953175267
B	C_1	27	0.0	2.52886782849
C	C_2	52	0.0	5.11845408615
C	C_2	57	0.0	2.36350724618
B	C_2	24	0.0	0.0
C	C_2	44	0.0	3.58982387761
B	C_2	15	0.0	1.801143753
C	C_2	51	0.0	2.5020833414
B	C_2	27	0.0	1.82471613104
C	C_3	52	0.0	0.943701577708
C	C_3	57	0.0	1.28777959603
B	C_3	24	0.0	0.0
C	C_3	44	0.0	0.971807284386
B	C_3	15	0.0	1.10774209488
C	C_3	51	0.0	0.870920185866
B	C_3	27	0.0	1.10604138749
C	C_1	45	0.0	2.85206657425
C	C_1	49	0.0	6.53327017289
C	C_1	53	0.0	6.53327017289
B	C_1	23	0.0	0.0
C	C_1	41	0.0	5.23156408369
C	C_1	40	0.0	4.32192809489
C	C_1	48	0.0	6.47522507509
C	C_2	45	0.0	0.605196566522
C	C_2	49	0.0	5.39301950091
C	C_2	53	0.0	5.75014637145
B	C_2	23	0.0	0.0
C	C_2	41	0.0	5.20538559198
C	C_2	40	0.0	1.21864045554
C	C_2	48	0.0	5.75014637145
C	C_3	45	0.0	0.434769654854
C	C_3	49	0.0	2.23170549927
C	C_3	53	0.0	2.7715114432
B	C_3	23	0.0	0.0
C	C_3	41	0.0	2.20947332927
C	C_3	40	0.0	0.0
C	C_3	48	0.0	2.52335118173
A	C_1	4	0.0	0.0
B	C_1	32	0.0	2.57745179012
B	C_1	37	0.0	4.68942877359
B	C_1	36	0.0	4.55630089766
B	C_1	31	0.0	2.12310562802
B	C_1	26	0.0	3.66788815242
A	C_2	4	0.0	0.0
B	C_2	32	0.0	1.81329400382
B	C_2	37	0.0	3.88349286428
B	C_2	36	0.0	4.93329408059
B	C_2	31	0.0	1.90801584352
B	C_2	26	0.0	4.35945032708
A	C_3	4	0.0	0.0
B	C_3	32	0.0	0.728830426432
B	C_3	37	0.0	2.11683814651
B	C_3	36	0.0	1.69181910255
B	C_3	31	0.0	1.19123731282
B	C_3	26	0.0	2.07859378189
A	C_1	0	0.0	0.0
B	C_1	21	0.0	0.612443091966
C	C_1	55	0.0	6.2657960623
C	C_1	42	0.0	4.11624829829
B	C_1	38	0.0	4.77460001096
A	C_1	14	0.0	2.88841342451
A	C_1	1	0.0	0.0
A	C_2	0	0.0	0.0
B	C_2	21	0.0	0.936185250389
C	C_2	55	0.0	5.10341576716
C	C_2	42	0.0	4.34776358051
B	C_2	38	0.0	4.19291091509
A	C_2	14	0.0	4.11899147276
A	C_2	1	0.0	3.19360397107
A	C_3	0	0.0	0.0
B	C_3	21	0.0	0.936185250389
C	C_3	55	0.0	0.940128403421
